Init_station,Init_time,Time,Value,Total
60.0,99.0,96.66666666666667,450345.95361330255,4590287.847792166
60.0,123.0,96.625,450403.1477235856,4590316.995736679
61.0,3.0,89.33333333333333,445890.99375478714,4587112.611396087
61.0,99.0,89.375,445592.2902290324,4586921.59208509
61.0,123.0,89.41666666666667,445349.13402767,4586773.156423435
62.0,3.0,88.5,455761.67441949015,4593259.98222756
62.0,99.0,88.5,455341.47999879596,4593109.14051185
62.0,123.0,88.5,455208.7327464465,4593061.756062556
63.0,3.0,88.5,455742.2577745345,4593334.689760954
63.0,99.0,88.5,455266.60530337127,4593136.457913488
63.0,123.0,88.5,454897.5228468487,4592956.606476374
64.0,3.0,88.5,455578.81618059985,4593233.686595017
64.0,99.0,88.5,455689.97203749337,4593184.504675445
64.0,123.0,88.5,455275.6396746391,4593107.484000903
65.0,3.0,92.16666666666667,444377.19199895684,4585473.705357112
65.0,99.0,92.29166666666667,443995.5215143477,4585234.404968529
65.0,123.0,92.29166666666667,444033.4432059261,4585246.339855728
66.0,3.0,90.58333333333333,448440.7695994475,4588859.51900729
66.0,99.0,90.70833333333333,448101.34000060253,4588677.50573919
66.0,123.0,90.75,448070.80121588556,4588647.026469027
67.0,3.0,88.5,454160.44259573356,4592586.1641698815
